download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=xslt-without-the-pain,https://www.slideshare.net/bdelacretaz/xslt-without-the-pain,XSLT and XPath - without the pain!,2007-06-27 01:57:43 UTC,"Slides of my presentations at ApacheCon EU 07, see http://www.eu.apachecon.com/program/talk/84, and at the Cocoon GetTogether 2007, see http://www.cocoongt.org/",xslt cocoon apachecon,presentation,en,public,2894,2622,272,19,8,537
https://www.slideshare.net/dwnld_file?s_title=beyond-fulltext-searches-with-lucene-and-solr,https://www.slideshare.net/bdelacretaz/beyond-fulltext-searches-with-lucene-and-solr,Beyond full-text searches with Lucene and Solr,2007-10-09 09:04:45 UTC,"Case study using Solr to index the content of existing websites. Presented at ApacheCon EU 2007, Amsterdam.","",presentation,en,public,4755,4704,51,41,12,578
https://www.slideshare.net/dwnld_file?s_title=opensource-project-tools-for-corporate-projects,https://www.slideshare.net/bdelacretaz/opensource-project-tools-for-corporate-projects,Open-Source Project Tools for Corporate Projects?,2007-10-09 09:05:53 UTC,"Using Open-Source Project Tools for Corporate Projects? Presented at ApacheCon EU 2006, Dublin.",opensource cvs subversion jira bugzilla wiki blog tools,presentation,en,public,1208,1059,149,16,10,323
https://www.slideshare.net/dwnld_file?s_title=open-source-in-education,https://www.slideshare.net/bdelacretaz/open-source-in-education,Open Source In Education,2007-10-09 09:12:49 UTC,"What can Open Source software bring to (IT) education, and vice-versa.",opensource education,presentation,en,public,4829,4682,147,3,7,85
https://www.slideshare.net/dwnld_file?s_title=sling-demo-jcr-meetup-2008,https://www.slideshare.net/bdelacretaz/sling-demo-jcr-meetup-2008,Sling demo - JCR Meetup 2008,2008-04-08 07:14:02 UTC,My (very quickly put together) Sling demo at http://wiki.apache.org/jackrabbit/JcrMeetupApril2008,sling jcr java osgi,presentation,en,public,1284,1249,35,3,5,132
https://www.slideshare.net/dwnld_file?s_title=open-source-tools-are-good-for-you,https://www.slideshare.net/bdelacretaz/open-source-tools-are-good-for-you,Open Source Tools Are Good For You!,2008-04-10 06:57:14 UTC,"Slides of my talk at ApacheCon EU 2008, http://eu.apachecon.com/eu2008/program/talk/2481",opensource collaboration subversion jira bugzilla cvs blog wiki apache asf apacheconeu2008 apachecon,presentation,en,public,1643,1284,359,5,6,150
https://www.slideshare.net/dwnld_file?s_title=working-in-and-with-the-apache-software-foundation,https://www.slideshare.net/bdelacretaz/working-in-and-with-the-apache-software-foundation,Working In And With the Apache Software Foundation,2008-06-09 05:41:34 UTC,"My presentation at the ""Meet the Communities"" event in Luxembourg, June 12th, 2008 (http://www.mtc.lu/Prochain-Event.html). Mostly about how Day works in and with the ASF, includes a brief presentation of Sling.",apache asf sling jcr,presentation,en,public,830,810,20,2,2,61
https://www.slideshare.net/dwnld_file?s_title=taming-jcr-with-sling-presentation,https://www.slideshare.net/bdelacretaz/taming-jcr-with-sling-presentation,Taming Jcr With Sling,2008-09-24 00:29:52 UTC,"Slides of our talk at http://www.openexpo.ch, September 2008",sling jcr day,presentation,en,public,2513,2247,266,3,2,102
https://www.slideshare.net/dwnld_file?s_title=jcr-introduction-and-examples-presentation,https://www.slideshare.net/secret/4nTa6XzEjoLyZ2,JCR introduction and examples,2009-01-19 08:23:27 UTC,"Introduction to the Java Content Repository API (JSR-170, aka JCR) - mostly a remix  of JCR presentations created by other Day folks, with some original material.",jcr jsr170 jackrabbit sling content,presentation,en,private,4,4,0,0,0,3
https://www.slideshare.net/dwnld_file?s_title=tales-from-the-osgi-trenches,https://www.slideshare.net/bdelacretaz/tales-from-the-osgi-trenches,Tales from the OSGi trenches,2009-03-25 08:25:34 UTC,"Slides of my ""Tales from the OSGi trenches"" presentation at ApacheCon Europe 2009",osgi apachecon sling daysoftware,presentation,en,public,5797,5092,705,14,41,297
https://www.slideshare.net/dwnld_file?s_title=rapid-jcr-applications-development-with-sling-1196003,https://www.slideshare.net/bdelacretaz/rapid-jcr-applications-development-with-sling-1196003,Rapid JCR applications development with Sling,2009-03-25 09:05:09 UTC,"Slides of my ""Rapid JCR applications development with Sling"" at ApacheCon EU 2009. Starts like the US 2008 version but uses a different example for the second part.",sling jcr content apachecon,presentation,en,public,15526,15291,235,15,13,393
https://www.slideshare.net/dwnld_file?s_title=opensource-collaboration-tools-are-good-for-you-2009-edition,https://www.slideshare.net/bdelacretaz/opensource-collaboration-tools-are-good-for-you-2009-edition,Open-Source Collaboration Tools are Good for You - 2009 edition,2009-03-30 10:56:20 UTC,"Slides of my ""Open-Source Collaboration Tools are Good for You!"" presentation at openexpo.ch Bern, April 2009. Video at http://www.youtube.com/watch?v=XdNyzNCRLd8 . Relooked and slightly expanded from previous versions, including ""speaking in URLs"" and ""making mistakes in public"".",opensource collaboration apache asf jira bugzilla subversion,presentation,en,public,9581,5422,4159,14,11,134
https://www.slideshare.net/dwnld_file?s_title=life-in-open-source-communities-apachecon-us-2009,https://www.slideshare.net/bdelacretaz/life-in-open-source-communities-apachecon-us-2009,"Life in Open Source Communities, ApacheCon US 2009",2009-10-30 08:04:53 UTC,"Slides of my ""Life in Open Source Communities"" talk at ApacheCon US 2009, see also http://grep.codeconsult.ch/2009/10/30/life-in-open-source-communities-live-at-apachecon/",opensource apachecon apache collaboration community,presentation,en,public,5306,4897,409,3,6,28
https://www.slideshare.net/dwnld_file?s_title=jcr-in-10-minutes-2408369,https://www.slideshare.net/bdelacretaz/jcr-in-10-minutes-2408369,JCR In 10 Minutes,2009-11-02 22:56:33 UTC,Slides of my short talk at http://www.nosqloakland.org/,jcr jackrabbit sling jsr170 jsr283 content storage,presentation,en,public,8553,8124,429,10,8,328
https://www.slideshare.net/dwnld_file?s_title=title-the-iks-restful-semantic-engine-lets-get-started,https://www.slideshare.net/bdelacretaz/title-the-iks-restful-semantic-engine-lets-get-started,The IKS RESTful semantic engine - let's get started!,2009-11-13 08:02:58 UTC,"Slides of my presentation at the second IKS workshop, Rome November 2009. The aim is to convince IKS people of the need to create a simple prototype soon, that allows industrial partners to play with concrete tools. See also http://dev.day.com/microsling/content/blogs/main/iks-pragmatic-view.html",iks_project rest semantic,presentation,en,public,766,744,22,0,8,11
https://www.slideshare.net/dwnld_file?s_title=open-innovation-means-open-source-2649029,https://www.slideshare.net/bdelacretaz/open-innovation-means-open-source-2649029,Open Innovation means Open Source,2009-12-04 07:32:02 UTC,"Slides of my ""Open Innovation in Software Means Open Source Software"" talk, OSS Watch, Oxford Dec.12th, 2009 (http://www.oss-watch.ac.uk/events/2009-12-07_business/programme.xml). Also at http://transfersummit.com/programme/60 and accompanying article on the H online, http://x42.ch/03.10.01",openinnovation opensource,presentation,en,public,1394,1105,289,1,3,14
https://www.slideshare.net/dwnld_file?s_title=cq5-and-sling-overview,https://www.slideshare.net/bdelacretaz/cq5-and-sling-overview,CQ5 and Sling overview,2010-02-25 07:51:35 UTC,Quick overview of CQ5 and Sling for an informal developers meeting,sling apachesling daysoftware cq5 osgi felix jackrabbit,presentation,en,public,8666,8651,15,10,7,531
https://www.slideshare.net/dwnld_file?s_title=iks-early-adopters-workshop-what-are-we-building,https://www.slideshare.net/bdelacretaz/iks-early-adopters-workshop-what-are-we-building,IKS early adopters workshop: what are we building?,2010-06-22 05:13:55 UTC,"An IKS industrial partner's view on the current state of IKS software: on one hand the full ""revolutionary CMS"" stack, on the other hand the pragmatic but limited FISE RESTful semantic engine.",iks-project fise semantic,presentation,en,public,653,645,8,0,5,8
https://www.slideshare.net/dwnld_file?s_title=introduction-to-iks-fise,https://www.slideshare.net/bdelacretaz/introduction-to-iks-fise,IKS early adopters workshop - introducing FISE,2010-06-22 07:12:15 UTC,"Introduction to the IKS FISE RESTful semantic engine - http://wiki.iks-project.eu/index.php/FISE , for the first IKS Early Adopters Workshop, Salzburg, June 22nd, 2010 - http://wiki.iks-project.eu/index.php/Workshops/EAworkshop",iks-project fise osgi semantic rdf,presentation,en,public,1020,1009,11,2,6,18
https://www.slideshare.net/dwnld_file?s_title=why-we-day-open-source-most-of-our-code,https://www.slideshare.net/bdelacretaz/why-we-day-open-source-most-of-our-code,Why we (Day) open source most of our code,2010-06-23 09:39:45 UTC,"Slides my my presentation at TransferSummit 2010, ""Why we Open Source most of our code"", http://transfersummit.com/programme/67",opensource daysoftware transfersummit,presentation,en,public,1168,1160,8,2,2,34
https://www.slideshare.net/dwnld_file?s_title=open-innovation-means-open-source,https://www.slideshare.net/bdelacretaz/open-innovation-means-open-source,Open Innovation means Open Source,2010-06-23 09:51:24 UTC,"Slides of my presentation at TransferSummit 2010, ""Open innovation in software means Open Source"", http://transfersummit.com/programme/60 . See accompanying article on the H online, http://x42.ch/03.10.01",opensource daysoftware transfersummit,presentation,en,public,2264,1690,574,3,7,34
https://www.slideshare.net/dwnld_file?s_title=restful-slingbdelacretaz2010,https://www.slideshare.net/bdelacretaz/restful-slingbdelacretaz2010,RESTful Web Applications with Apache Sling,2010-11-03 13:23:08 UTC,"Slides of my ApacheCon NA 2010 talk, http://na.apachecon.com/c/acna2010/sessions/590","",presentation,en,public,8185,8162,23,11,10,148
https://www.slideshare.net/dwnld_file?s_title=open-source-enables-open-innovation,https://www.slideshare.net/bdelacretaz/open-source-enables-open-innovation,Open Source enables Open Innovation,2010-11-04 11:00:35 UTC,"Slides of my ApacheCon NA 2010 talk, http://na.apachecon.com/c/acna2010/sessions/558","opensource,apachecon,innovation",presentation,en,public,19687,19562,125,9,5,87
https://www.slideshare.net/dwnld_file?s_title=stanbol-apachecon2010bdelacretaz,https://www.slideshare.net/bdelacretaz/stanbol-apachecon2010bdelacretaz,Apache Stanbol Incubation Proposal,2010-11-04 13:12:56 UTC,"Slides of my presentation of the Stanbol incubation proposal at Apache, http://wiki.apache.org/incubator/StanbolProposal","",presentation,en,public,1791,1782,9,6,12,39
https://www.slideshare.net/dwnld_file?s_title=apache-stanbol-the-community-vision,https://www.slideshare.net/bdelacretaz/apache-stanbol-the-community-vision,Apache Stanbol - the community vision,2010-12-09 04:30:49 UTC,"Supporting slides for my ""why is IKS code moving to Apache Stanbol (incubating)"" talk at the 4th IKS community workshop, http://wiki.iks-project.eu/index.php/Workshops/EAworkshopAmsterdam","apache,fise,iks,semantic,stanbol",presentation,en,public,1162,1155,7,0,3,16
https://www.slideshare.net/dwnld_file?s_title=bertrand-stanbolbenchmarksapril2011,https://www.slideshare.net/bdelacretaz/bertrand-stanbolbenchmarksapril2011,Apache Stanbol Enhancer Benchmark tool: introduction,2011-04-08 04:09:34 UTC,"Introduction to the Apache Stanbol Enhancer Benchmark tool, see also screencast at http://www.youtube.com/watch?v=QQ4G_mFLzVw

Slideshare didn't want my PDF, had to upload in keynote format and as a result it's a bit broken, but readable ;-)","stanbol, iks, semantic, rdf, testing",presentation,en,public,802,794,8,1,1,0
https://www.slideshare.net/dwnld_file?s_title=open-innovation-in-software-means-open-source-2011-remix,https://www.slideshare.net/bdelacretaz/open-innovation-in-software-means-open-source-2011-remix,Open innovation in software means Open Source (2011 remix),2011-09-05 07:23:56 UTC,Slides of my ,"opensource, adobe,transfersummit,innovation",presentation,en,public,1035,1025,10,0,2,11
https://www.slideshare.net/dwnld_file?s_title=would-you-buy-an-open-source-company,https://www.slideshare.net/bdelacretaz/would-you-buy-an-open-source-company,Would you buy an open source company?,2011-09-05 09:42:11 UTC,"Slides of my ""would you buy an open source company"" talk at Transfer Summit 2011, http://www.transfersummit.com/programme/1355","opensource, daysoftware,transfersummit, opendevelopment",presentation,en,public,604,592,12,0,2,9
https://www.slideshare.net/dwnld_file?s_title=osgi-for-mere-mortals,https://www.slideshare.net/bdelacretaz/osgi-for-mere-mortals,OSGi for mere mortals,2011-11-10 17:15:07 UTC,"Slides of my ""OSGi for mere mortals"" talk at ApacheCon NA 2011, http://na11.apachecon.com/talks/19416","apachecon,java,osgi,tutorial",presentation,en,public,3336,3321,15,8,127,116
https://www.slideshare.net/dwnld_file?s_title=a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree,https://www.slideshare.net/bdelacretaz/a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree,"A JCR view of the world: everything is content, everything is a tree!",2012-06-04 05:13:08 UTC,"Slides of my Berlin Buzzwords 2012 talk: http://berlinbuzzwords.de/sessions/jcr-view-world-everything-content-everything-tree

This talk presents a number of real-world examples of how JCR tree structures are used to store content in heavy-duty content management systems such as Adobe CQ5. We'll describe a number of macro- and micro-tree structures that expose your content in a transparent, evolvable and self-documenting way.","jcr, content, storage, sling, cq5, ",document,en,public,2245,2233,12,2,3,37
https://www.slideshare.net/dwnld_file?s_title=open-development-in-the-enterprise-jazoon-2012,https://www.slideshare.net/secret/N985KZOxNBMQP2,Open Development in the Enterprise - Jazoon 2012,2012-06-28 08:03:49 UTC,"","",presentation,en,public,418,413,5,0,0,0
https://www.slideshare.net/dwnld_file?s_title=open-development-in-the-enterprise-jazoon-2012-13525460,https://www.slideshare.net/bdelacretaz/open-development-in-the-enterprise-jazoon-2012-13525460,"Open Development in the Enterprise, Jazoon 2012",2012-07-03 04:28:49 UTC,Slides of my Jazoon 2012 talk: http://jazoon.com/Conference/Presentation/Day/2012-06-28/Autor/Bertrand-Delacretaz_173,"opendevelopment, opensource, Collaboration, ",presentation,en,public,1759,1752,7,2,3,9
https://www.slideshare.net/dwnld_file?s_title=a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree-13958491,https://www.slideshare.net/bdelacretaz/a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree-13958491,"A JCR view of the world: everything is content, everything is a tree",2012-08-13 09:45:54 UTC,"Slides of my Berlin Buzzwords 2012 talk, video available at http://berlinbuzzwords.de/sessions/jcr-view-world-everything-content-everything-tree","content,jackrabbit,jcr,sling",document,en,public,850,836,14,1,2,15
https://www.slideshare.net/dwnld_file?s_title=tales-from-the-osgi-trenches-2012-short-form-edition,https://www.slideshare.net/bdelacretaz/tales-from-the-osgi-trenches-2012-short-form-edition,Tales from the OSGi trenches (2012 short form edition),2012-10-24 01:01:45 UTC,"My ""Tales from the OSGi trenches"" presentation at the OSGi community event 2012, Ludwigsburg, http://www.osgi.org/CommunityEvent2012/Speakers#anchor14","osgi,sling,cq5,adobe,felix,",presentation,en,public,1588,1571,17,2,7,47
https://www.slideshare.net/dwnld_file?s_title=open-development-in-the-enterprise-apachecon-na-2013,https://www.slideshare.net/bdelacretaz/open-development-in-the-enterprise-apachecon-na-2013,Open Development in the Enterprise - ApacheCon NA 2013,2013-02-26 16:50:10 UTC,"Slides of my ""Open Development in the Enterprise"" talk at ApacheCon NA 2013 - the video is at https://www.youtube.com/watch?v=lpjeIsJtvVE","apache,apachecon,collaboration,open source",presentation,en,public,3298,3270,28,5,4,25
https://www.slideshare.net/dwnld_file?s_title=a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree-22182699,https://www.slideshare.net/bdelacretaz/a-jcr-view-of-the-world-everything-is-content-everything-is-a-tree-22182699,"A JCR view of the world - everything is content, everything is a tree",2013-05-30 04:02:44 UTC,"Slides from my ""JCR view of the world"" presentation at Berlin Buzzwords 2012, http://2012.berlinbuzzwords.de/sessions/jcr-view-world-everything-content-everything-tree 
See also the video at https://vimeo.com/44298693","",document,en,public,1824,1813,11,1,2,0
https://www.slideshare.net/dwnld_file?s_title=restful-web-apps-with-apache-sling-2013-version,https://www.slideshare.net/bdelacretaz/restful-web-apps-with-apache-sling-2013-version,RESTful web apps with Apache Sling - 2013 version,2013-05-30 05:22:55 UTC,Quick overview of Apache Sling and its Slingbucks sample,"sling, jcr, jackrabbit, apache, osgi, ",presentation,en,public,4604,4598,6,4,8,0
https://www.slideshare.net/dwnld_file?s_title=cq5-overview-for-developers-2013-edition,https://www.slideshare.net/bdelacretaz/cq5-overview-for-developers-2013-edition,"CQ5 overview for developers, 2013 edition",2013-05-30 05:27:06 UTC,A quick overview of CQ5 that I use for developer-to-developer talks. See http://www.adobe.com/go/aem for more info about Adobe Experience Manager which is powered by CQ.,"adobe, cq5, aem, sling, jcr, jackrabbit, osgi, ",presentation,en,public,3637,3520,117,3,5,0
https://www.slideshare.net/dwnld_file?s_title=automated-selftesting-and-health-check-of-cq-and-sling-instances,https://www.slideshare.net/bdelacretaz/automated-selftesting-and-health-check-of-cq-and-sling-instances,Automated self-testing and health check of CQ and Sling instances,2013-06-19 06:44:00 UTC,"Slides of my CQCon 2013 ""Automated self-testing and health check of CQ instances"", see http://www.cqcon.eu/2013/en/speakers/bertrand-delacretaz.html and http://sling.apache.org/documentation/bundles/sling-health-check-tool.html","",presentation,en,public,4441,4426,15,5,4,64
https://www.slideshare.net/dwnld_file?s_title=bdelacretaz-opendev201309,https://www.slideshare.net/bdelacretaz/bdelacretaz-opendev201309,"Open Development in the enterprise, September 2013 version",2013-09-11 09:18:48 UTC,"Open Development in the Enterprise, September 2013. Not much has changed from previous versions of that deck, it's mostly a remix.","",presentation,en,public,1850,1831,19,6,2,14
https://www.slideshare.net/dwnld_file?s_title=slinghc-bdelacretazadaptto2013,https://www.slideshare.net/bdelacretaz/slinghc-bdelacretazadaptto2013,Automated self-testing and health check of live Sling instances,2013-09-24 07:03:56 UTC,"Slides of my talk at adaptTop 2013, ""Automated self-testing and health check of live Sling instances"". The use cases are similar to my previous presentation at CQCon, but the tool has been almost completely rewritten in the meantime. See http://sling.apache.org/documentation/bundles/sling-health-check-tool.html for more info on the Sling health check tools.","",presentation,en,public,3142,3125,17,4,4,46
https://www.slideshare.net/dwnld_file?s_title=open-development-in-the-enterprise-oc,https://www.slideshare.net/bdelacretaz/open-development-in-the-enterprise-oc,"Open Development in the Enterprise, October 2013 edition",2013-10-29 10:26:14 UTC,"Yet another Open Development in the Enterprise remix. More synthetic, aimed more at managers than developers.","",presentation,en,public,4886,4742,144,3,10,13
